Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To learn more about a language or a culture,Budget,Zoo,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Bar,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Karaoke,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Market,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Street Food,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Walk,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,City,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Road Trip,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Festival,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Zoo,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Bar,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To spend quality time with family/friends,Budget,Karaoke,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Market,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Street Food,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Walk,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,City,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Road Trip,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Festival,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Zoo,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Bar,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To explore architecture and history,Budget,Karaoke,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Market,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Street Food,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Walk,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,City,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Road Trip,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Festival,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Zoo,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Bar,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To look at and appreciate beautiful places,Budget,Karaoke,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To see the wonders of nature,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To relax and escape work and responsibilities,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To relax and escape work and responsibilities,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To relax and escape work and responsibilities,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To explore architecture and history,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To explore architecture and history,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To explore architecture and history,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To go on an adventure,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To go on an adventure,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To go on an adventure,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To share travel stories and view with friends and family back home,Variety of activities at destination,Family,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To share travel stories and view with friends and family back home,Variety of activities at destination,Sightsee,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To share travel stories and view with friends and family back home,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Italy/Malta
To meet new people,Budget,Food,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To meet new people,Budget,History,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To meet new people,Budget,Party,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To meet new people,Budget,Beach,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To see the wonders of nature,Budget,Food,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To see the wonders of nature,Budget,History,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To see the wonders of nature,Budget,Party,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To see the wonders of nature,Budget,Beach,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To spend quality time with family/friends,Budget,Food,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To spend quality time with family/friends,Budget,History,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To spend quality time with family/friends,Budget,Party,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To spend quality time with family/friends,Budget,Beach,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To go on an adventure,Budget,Food,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To go on an adventure,Budget,History,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To go on an adventure,Budget,Party,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To go on an adventure,Budget,Beach,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To look at and appreciate beautiful places,Budget,Food,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To look at and appreciate beautiful places,Budget,History,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To look at and appreciate beautiful places,Budget,Party,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To look at and appreciate beautiful places,Budget,Beach,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Italy/Malta
To go on an adventure,Variety of activities at destination,City,An old city with interesting architecture,2,Female,No,6,4,3,4,6,Mexico/Costa Rica/El Salvador
To go on an adventure,Variety of activities at destination,Beach,An old city with interesting architecture,2,Female,No,6,4,3,4,6,Mexico/Costa Rica/El Salvador
To go on an adventure,Variety of activities at destination,Pool,An old city with interesting architecture,2,Female,No,6,4,3,4,6,Mexico/Costa Rica/El Salvador
To go on an adventure,Variety of activities at destination,Hike,An old city with interesting architecture,2,Female,No,6,4,3,4,6,Mexico/Costa Rica/El Salvador
To see the wonders of nature,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To see the wonders of nature,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To see the wonders of nature,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To learn more about a language or a culture,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To learn more about a language or a culture,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To learn more about a language or a culture,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To relax and escape work and responsibilities,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To relax and escape work and responsibilities,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To relax and escape work and responsibilities,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To spend quality time with family/friends,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To spend quality time with family/friends,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To spend quality time with family/friends,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To explore architecture and history,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To explore architecture and history,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To explore architecture and history,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To go on an adventure,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To go on an adventure,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To go on an adventure,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To look at and appreciate beautiful places,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To look at and appreciate beautiful places,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To look at and appreciate beautiful places,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To share travel stories and view with friends and family back home,Time,Golf,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To share travel stories and view with friends and family back home,Time,Party,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To share travel stories and view with friends and family back home,Time,Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico/Costa Rica/El Salvador
To meet new people,Time,Golf,A relaxing day at the beach,4,Male,No,6,7,6,5,2,Mexico/Costa Rica/El Salvador
To meet new people,Time,Party,A relaxing day at the beach,4,Male,No,6,7,6,5,2,Mexico/Costa Rica/El Salvador
